x,y,time,label
1179,512,1770701888.229695,human
1177,513,1770701888.236168,human
1175,513,1770701888.2423697,human
1164,520,1770701888.5587723,human
1153,529,1770701888.5645137,human
1140,536,1770701888.5713332,human
1127,544,1770701888.5779736,human
1109,551,1770701888.5846643,human
1090,561,1770701888.5908237,human
1074,570,1770701888.5982015,human
1055,579,1770701888.604525,human
1042,586,1770701888.610676,human
1027,593,1770701888.6178017,human
1015,601,1770701888.6242359,human
1002,607,1770701888.6309068,human
992,612,1770701888.6375978,human
980,616,1770701888.6436574,human
966,622,1770701888.6504512,human
955,628,1770701888.657099,human
945,631,1770701888.6637213,human
936,633,1770701888.6704552,human
927,636,1770701888.6766584,human
919,636,1770701888.6831768,human
914,636,1770701888.6900475,human
910,637,1770701888.6966357,human
907,637,1770701888.7033997,human
905,637,1770701888.7093632,human
903,637,1770701888.71662,human
902,637,1770701888.7231846,human
902,636,1770701888.7363389,human
902,634,1770701888.7422395,human
902,628,1770701888.7490714,human
905,617,1770701888.7557063,human
910,602,1770701888.7624722,human
917,588,1770701888.7689445,human
925,570,1770701888.7754765,human
938,553,1770701888.7819643,human
953,532,1770701888.7888162,human
967,516,1770701888.7951705,human
988,500,1770701888.8014731,human
1011,490,1770701888.8081913,human
1033,480,1770701888.8150413,human
1054,472,1770701888.821728,human
1074,467,1770701888.8284092,human
1091,466,1770701888.8347173,human
1104,466,1770701888.8412337,human
1114,466,1770701888.8478487,human
1121,466,1770701888.8547347,human
1129,468,1770701888.860858,human
1134,472,1770701888.8676734,human
1142,478,1770701888.874173,human
1148,483,1770701888.880671,human
1153,490,1770701888.8874075,human
1157,498,1770701888.8938282,human
1158,505,1770701888.900414,human
1159,515,1770701888.907273,human
1159,527,1770701888.9138217,human
1156,542,1770701888.9199615,human
1151,564,1770701888.926648,human
1143,585,1770701888.9330049,human
1135,607,1770701888.94005,human
1125,626,1770701888.946384,human
1116,642,1770701888.9533317,human
1100,666,1770701888.9595413,human
1087,684,1770701888.9664676,human
1072,702,1770701888.9726884,human
1062,714,1770701888.9792638,human
1053,724,1770701888.986155,human
1044,730,1770701888.9925938,human
1036,735,1770701888.9991844,human
1029,739,1770701889.0066416,human
