velocity,acceleration,label
1060.8381422527243,27331.1844531328,human
1116.727296917124,8195.221121714108,human
1003.1244015075466,-17797.224017778066,human
933.2157384041373,-11188.544483889125,human
1118.8415402388737,26591.449268712808,human
1675.9033912703203,90677.48476844805,human
1227.2785133657826,-64887.37956117501,human
1424.8478504721888,28436.424999236406,human
1509.7626067416934,12950.269139706495,human
1635.765605273368,19389.326806082732,human
1568.198609137815,-10595.846936339422,human
1274.8450624742748,-44074.003445394344,human
1533.7345961165759,39706.78343196834,human
1596.7351911070505,10059.526708197336,human
1444.3637015431725,-20703.370636033935,human
1396.8307079985216,-7824.7900214413285,human
1710.7376726012546,44596.45826173159,human
1231.20086656346,-75593.75892477717,human
895.0719181402931,-53184.962761697716,human
1013.9904956606589,17052.913445518836,human
1111.1822829626726,16099.360303620922,human
950.072506069108,-23904.888271677708,human
527.2751346495489,-61829.80740331727,human
584.4551936959889,9268.813541206544,human
790.5956617927723,28809.96267702545,human
581.3099418367754,-33742.37679624515,human
719.7309355480816,19925.174260666707,human
351.0667738086947,-57880.949587877876,human
580.8856932044139,37025.82825908975,human
703.8603792582649,17311.40183300592,human
447.7386474574066,-40543.946413770645,human
424.90269351831824,-3430.5491744460637,human
426.99791970022835,316.3090938951981,human
613.6384365180135,27777.55539886819,human
419.15285316155337,-28821.385019762358,human
347.5155203164102,-11133.42047212522,human
347.3868013297014,-19.9972798291891,human
420.99731016116414,10956.558133143099,human
221.08243017203588,-31252.4703987298,human
427.52110717616654,31203.52332383629,human
218.3721091748232,-32295.19857574739,human
330.0516913815906,16484.30878266376,human
219.0414180766515,-17193.900788921692,human
0.0,-34520.413917658814,human
283.0833192724328,40068.08282514905,human
171.05141094837276,-8570.050724261138,human
0.0,-27314.460410660307,human
225.349198446764,35908.481287214345,human
294.5438202247191,10190.424118741723,human
0.0,-42937.79797524747,human
218.99289675536153,33911.34840259174,human
157.10180537868004,-9723.202192133518,human
0.0,-24819.493416212255,human
145.24722097170758,21096.755200004052,human
145.14167070385494,-15.319742219370866,human
152.99861384693952,1202.1014099661566,human
0.0,-24807.58845108527,human
159.1041650861088,25314.13534774776,human
150.15587298177783,-1343.638612621765,human
0.0,-21460.43475213694,human
208.44959240637203,30724.661204259763,human
152.97071373864839,-8486.64366722156,human
156.55645552610952,561.3710246767711,human
215.7980718709107,9039.813308162584,human
203.40311369301565,-1782.738586701113,human
108.07203296862082,-7285.055081562733,human
0.0,-16505.970438002263,human
302.3793526061567,45716.63644125923,human
214.30889520614647,-13346.133093239849,human
160.0146497787273,-8687.874667068747,human
296.7632928856971,20290.98881303768,human
0.0,-43480.471806464215,human
219.73926063257474,34142.89322917133,human
150.36581343658133,-10431.394818525272,human
231.32523210029336,13242.664906749942,human
0.0,-33402.70411055148,human
158.20995058654898,25030.38846459827,human
206.62701088639434,7074.088887166286,human
350.12315161456223,22468.60182329927,human
225.7179345300705,-19855.90393996545,human
149.76447904020566,-11375.129692743056,human
197.84668962061713,6726.640477844707,human
231.7590685909089,5557.506711128024,human
